ID,GENERO,EDAD,EDU,SENSA.SUELDO,DIARIO,TV,ROBO5.A,SEGURO.NOCHE,RELIGION,MINORIA,INM.RICOS,INM.POBRES,D.ECO,CRIMEN,INM.LARGO,TENSION
595,1,17,3,2,0,0,2,2,0,2,1,2,2,4,3,5
597,1,56,3,1,5,2,2,1,8,2,3,3,1,4,1,5
598,1,72,1,4,5,4,1,3,10,2,3,3,1,1,8,4
603,2,15,2,2,1,0,2,2,5,2,1,1,3,3,5,3
604,2,53,1,3,0,4,2,2,1,2,4,4,2,3,4,2
610,1,54,1,2,1,3,1,2,9,2,2,3,2,2,4,3
613,2,60,3,2,7,3,1,2,8,2,3,4,2,1,8,1
617,2,46,4,2,1,2,1,2,0,2,2,2,2,4,6,5
620,1,46,2,2,1,2,1,2,1,2,2,2,3,2,4,3
621,2,48,4,2,2,2,2,3,3,2,2,2,4,4,7,4
622,1,67,3,2,1,4,1,2,5,2,1,3,1,1,8,4
626,2,35,5,2,1,3,1,3,2,2,3,3,2,3,5,4
630,2,44,5,2,1,1,1,3,5,2,2,2,2,4,7,4
632,2,42,3,1,1,2,2,3,5,2,2,2,2,4,6,4
636,2,54,5,2,1,1,1,3,3,2,2,2,2,4,6,4
637,2,39,5,1,1,2,2,2,7,2,2,2,4,2,5,4
638,1,16,3,1,1,3,1,2,0,2,2,2,3,4,3,4
640,2,23,5,2,1,1,2,1,0,2,1,1,4,2,6,4
643,1,59,1,2,2,4,2,2,0,2,3,2,5,4,8,5
645,1,52,4,2,1,1,2,1,2,2,2,2,2,5,8,5
646,1,46,3,2,1,2,2,2,3,2,2,2,1,1,5,3
647,1,65,1,2,1,3,2,3,2,2,2,2,1,4,8,4
648,2,42,3,3,1,2,2,3,5,2,1,4,1,4,5,3
650,1,57,3,2,2,3,1,4,3,2,2,2,4,4,8,2
658,1,67,5,1,1,3,2,3,7,2,2,2,2,2,8,2
659,1,44,2,3,0,1,2,2,2,2,4,4,2,2,5,2
660,2,47,2,2,1,3,1,2,3,2,1,1,2,3,5,3
662,1,79,3,2,2,3,2,2,4,2,3,3,2,3,5,3
663,1,32,4,2,1,1,2,2,0,2,2,2,3,4,4,4
664,2,37,3,2,2,1,2,2,4,2,3,3,2,3,4,2
666,2,30,3,1,0,1,1,1,8,2,2,2,4,4,8,4
667,1,46,3,2,1,2,2,1,7,2,3,3,4,4,4,2
675,2,26,3,2,1,1,2,2,2,2,2,2,4,3,2,4
686,1,41,5,2,1,5,2,2,0,2,2,2,4,4,10,5
694,1,30,4,2,1,5,2,2,6,2,3,2,2,2,2,5
701,1,15,2,2,1,1,2,2,0,2,2,2,5,5,8,1
703,2,36,5,3,3,2,2,2,3,2,3,3,3,2,4,3
705,1,56,1,2,1,2,1,3,6,2,4,3,2,1,4,2
706,1,17,3,1,1,3,1,3,3,2,1,1,3,4,4,5
723,1,24,3,1,1,2,2,2,6,2,3,2,2,3,4,3
739,1,71,1,2,3,2,2,4,0,1,4,4,2,1,8,2
741,1,73,5,1,2,4,2,2,4,2,2,2,2,1,6,5
742,2,26,5,3,1,2,2,2,4,2,3,3,3,4,4,4
749,2,56,4,2,0,1,2,2,8,2,3,3,2,3,2,4
758,1,69,3,2,2,2,2,2,7,2,3,3,2,3,4,4
760,2,69,1,2,1,2,2,4,7,2,4,3,2,4,9,2
761,2,22,4,2,1,1,1,2,7,2,3,3,2,2,7,2
764,1,45,3,1,2,3,1,2,3,2,2,2,2,3,3,3
765,1,28,3,3,1,1,1,2,0,2,2,3,5,1,0,5
766,1,45,3,1,3,4,2,3,5,2,2,2,3,2,5,4
768,1,42,3,2,1,2,2,2,2,2,2,2,2,2,5,4
772,2,47,1,2,1,2,1,2,8,2,2,2,2,5,0,5
775,1,53,1,3,0,3,2,2,2,2,3,2,5,4,2,5
780,1,52,1,3,2,6,1,3,7,2,3,3,1,1,10,4
782,1,37,3,2,4,0,2,2,0,1,4,2,1,3,6,3
785,2,54,1,2,1,2,1,3,6,2,3,3,2,1,0,2
789,2,40,1,2,4,2,2,2,0,2,2,2,3,1,1,4
792,1,56,1,2,1,1,2,2,6,2,3,3,2,2,10,4
794,1,60,1,2,1,1,2,1,7,2,1,2,1,1,10,1
795,1,17,2,1,1,1,1,2,0,1,1,1,2,4,2,2
798,1,31,2,2,1,4,2,2,3,2,3,3,1,1,8,1
800,1,36,2,3,1,7,1,2,3,2,3,3,3,3,5,3
801,2,27,1,3,0,1,2,2,3,2,3,3,3,4,4,2
803,1,36,5,2,2,3,2,2,0,2,2,2,1,3,2,4
809,1,44,5,1,1,1,2,3,0,2,2,2,2,2,6,4
812,2,64,3,1,1,1,1,3,0,2,2,2,4,1,4,2
813,1,34,5,1,3,1,2,2,0,2,2,2,2,4,1,4
814,2,59,5,2,1,2,2,4,5,2,3,3,4,2,5,3
817,1,39,5,3,1,2,1,2,7,2,2,2,2,2,7,4
821,1,32,4,2,1,2,1,2,5,2,3,3,1,4,5,3
831,1,51,5,1,3,4,2,3,5,2,1,1,2,4,5,3
844,1,49,5,2,1,2,2,2,0,2,1,1,3,3,5,4
845,1,30,2,1,1,2,2,2,5,2,1,3,4,3,5,2
849,1,65,4,1,1,1,1,2,0,2,1,1,5,3,7,4
850,1,50,5,1,1,3,2,1,5,2,1,1,4,1,4,4
856,1,37,3,1,2,1,2,1,6,2,2,2,4,2,5,2
857,1,31,5,1,2,2,2,1,0,2,2,2,3,2,6,4
859,1,41,2,3,1,3,2,1,4,2,1,1,2,4,8,4
863,2,67,1,2,0,3,1,2,10,2,3,3,2,4,2,3
